ISO 639 code	BCP-47 code	Number of speakers (rounded)	Writing system(s), ISO 15924	Name (Glottolog)	Glottocode (Glottolog)	Region, ISO 3166 (Glottolog)	Link to Glottolog	Alternative Name(s)	Endonym	Link to Wikipedia
pot	pot	<10K	Latn	Potawatomi	pota1247	CA, US	https://glottolog.org/resource/languoid/id/pota1247			https://en.wikipedia.org/w/index.php?title=ISO_639:pot
pov	pov	500000	Latn	Upper Guinea Crioulo	uppe1455	GM, GW, SN, US	https://glottolog.org/resource/languoid/id/uppe1455		Kriol	https://en.wikipedia.org/w/index.php?title=ISO_639:pov
poy	poy	200000	Latn	Pogolo	pogo1243	TZ	https://glottolog.org/resource/languoid/id/pogo1243			https://en.wikipedia.org/w/index.php?title=ISO_639:poy
ppk	ppk	10K-100K	Latn	Uma	umaa1242	ID	https://glottolog.org/resource/languoid/id/umaa1242			https://en.wikipedia.org/w/index.php?title=ISO_639:ppk
ppl	ppl	<10K	Latn	Pipil	pipi1250	SV	https://glottolog.org/resource/languoid/id/pipi1250			https://en.wikipedia.org/w/index.php?title=ISO_639:ppl
ppo	ppo	<10K	Latn	Folopa	folo1238	PG	https://glottolog.org/resource/languoid/id/folo1238			https://en.wikipedia.org/w/index.php?title=ISO_639:ppo
pps	pps	10K-100K	Latn	San Luís Temalacayuca Popoloca	sanl1248	MX	https://glottolog.org/resource/languoid/id/sanl1248			https://en.wikipedia.org/w/index.php?title=ISO_639:pps
prf	prf	10K-100K	Latn	Paranan	para1306		https://glottolog.org/resource/languoid/id/para1306			https://en.wikipedia.org/w/index.php?title=ISO_639:prf
pri	pri	<10K	Latn	Paicî	paic1239	NC	https://glottolog.org/resource/languoid/id/paic1239			https://en.wikipedia.org/w/index.php?title=ISO_639:pri
prk	prk	800000	Latn	South Wa	para1301	CN, MM	https://glottolog.org/resource/languoid/id/para1301		Vax	https://en.wikipedia.org/w/index.php?title=ISO_639:prk
prq	prq	<10K	Latn	Ashéninka Perené	ashe1272	PE	https://glottolog.org/resource/languoid/id/ashe1272			https://en.wikipedia.org/w/index.php?title=ISO_639:prq
pse	pse	2000000	Latn	Central Malay	cent2053	ID	https://glottolog.org/resource/languoid/id/cent2053		Bahasa Pasemah	https://en.wikipedia.org/w/index.php?title=ISO_639:pse
psh	psh	10K-100K	Arab	Southwest Pashayi	sout2671	AF	https://glottolog.org/resource/languoid/id/sout2671		پشه یی	https://en.wikipedia.org/w/index.php?title=ISO_639:psh
psi	psi	200000	Arab	Southeast Pashayi	sout2672	AF	https://glottolog.org/resource/languoid/id/sout2672		پشه یی	https://en.wikipedia.org/w/index.php?title=ISO_639:psi
pss	pss	<10K	Latn	Kaulong	kaul1240	PG	https://glottolog.org/resource/languoid/id/kaul1240			https://en.wikipedia.org/w/index.php?title=ISO_639:pss
ptp	ptp	<10K	Latn	Patep	pate1247	PG	https://glottolog.org/resource/languoid/id/pate1247			https://en.wikipedia.org/w/index.php?title=ISO_639:ptp
ptu	ptu	10K-100K	Latn	Bambam	bamb1270	ID	https://glottolog.org/resource/languoid/id/bamb1270			https://en.wikipedia.org/w/index.php?title=ISO_639:ptu
pua	pua	100000	Latn	Western Highland Purepecha	west2631	MX, US	https://glottolog.org/resource/languoid/id/west2631		P'urhépecha	https://en.wikipedia.org/w/index.php?title=ISO_639:pua
pus	ps	13000000	Arab,Latn	Nuclear Pashto	nucl1276	PK	https://glottolog.org/resource/languoid/id/nucl1276		پشتو	https://en.wikipedia.org/w/index.php?title=ISO_639:pus
puu	puu	200000	Latn	Punu	punu1239	CG, GA	https://glottolog.org/resource/languoid/id/punu1239			https://en.wikipedia.org/w/index.php?title=ISO_639:puu
pwa	pwa	<10K	Latn	Pawaia	pawa1255	PG	https://glottolog.org/resource/languoid/id/pawa1255			https://en.wikipedia.org/w/index.php?title=ISO_639:pwa
pwg	pwg	<10K	Latn	Gapapaiwa	gapa1238	PG	https://glottolog.org/resource/languoid/id/gapa1238			https://en.wikipedia.org/w/index.php?title=ISO_639:pwg
pwn	pwn	10K-100K	Latn	Paiwan	paiw1248	TW	https://glottolog.org/resource/languoid/id/paiw1248			https://en.wikipedia.org/w/index.php?title=ISO_639:pwn
pwo	pwo	200000	Mymr	Pwo Western Karen	pwow1235	MM, TH	https://glottolog.org/resource/languoid/id/pwow1235			https://en.wikipedia.org/w/index.php?title=ISO_639:pwo
pwr	pwr	300000	Deva	Powari	powa1246	IN	https://glottolog.org/resource/languoid/id/powa1246			https://en.wikipedia.org/w/index.php?title=ISO_639:pwr
pww	pww	10K-100K	Thai	Pwo Northern Karen	pwon1235	MM, TH	https://glottolog.org/resource/languoid/id/pwon1235			https://en.wikipedia.org/w/index.php?title=ISO_639:pww
pyu	pyu	<10K	Latn	Puyuma	puyu1239	TW	https://glottolog.org/resource/languoid/id/puyu1239			https://en.wikipedia.org/w/index.php?title=ISO_639:pyu
qub	qub	10K-100K	Latn	Huallaga Huánuco Quechua	hual1241	PE	https://glottolog.org/resource/languoid/id/hual1241			https://en.wikipedia.org/w/index.php?title=ISO_639:qub
quc	quc	2000000	Latn	K'iche'	kich1262	GT	https://glottolog.org/resource/languoid/id/kich1262		Qatzijob'al	https://en.wikipedia.org/w/index.php?title=ISO_639:quc
que	qu	9000000	Latn	Quechua (macrolanguage)	n/a		n/a		Runasimi	https://en.wikipedia.org/w/index.php?title=ISO_639:que
quf	quf	10K-100K	Latn	Lambayeque Quechua	lamb1276	PE	https://glottolog.org/resource/languoid/id/lamb1276			https://en.wikipedia.org/w/index.php?title=ISO_639:quf
quh	quh	3000000	Latn	South Bolivian Quechua	sout2991	AR, BO, CL	https://glottolog.org/resource/languoid/id/sout2991		Runasimi	https://en.wikipedia.org/w/index.php?title=ISO_639:quh
qul	qul	100000	Latn	North Bolivian Quechua	nort2976	BO, PE	https://glottolog.org/resource/languoid/id/nort2976			https://en.wikipedia.org/w/index.php?title=ISO_639:qul
qus	qus	10K-100K	Latn	Santiago del Estero Quichua	sant1432	AR	https://glottolog.org/resource/languoid/id/sant1432			https://en.wikipedia.org/w/index.php?title=ISO_639:qus
quy	quy	900000	Latn	Ayacucho Quechua	ayac1239	PE	https://glottolog.org/resource/languoid/id/ayac1239		Chanka runasimi	https://en.wikipedia.org/w/index.php?title=ISO_639:quy
qva	qva	10K-100K	Latn	Ambo-Pasco Quechua	ambo1252	PE	https://glottolog.org/resource/languoid/id/ambo1252			https://en.wikipedia.org/w/index.php?title=ISO_639:qva
qvc	qvc	10K-100K	Latn	Cajamarca Quechua	caja1238	PE	https://glottolog.org/resource/languoid/id/caja1238			https://en.wikipedia.org/w/index.php?title=ISO_639:qvc
qvh	qvh	10K-100K	Latn	Huamalíes-Dos de Mayo Huánuco Quechua	huam1248	PE	https://glottolog.org/resource/languoid/id/huam1248			https://en.wikipedia.org/w/index.php?title=ISO_639:qvh
qvm	qvm	10K-100K	Latn	Margos-Yarowilca-Lauricocha Quechua	marg1254	PE	https://glottolog.org/resource/languoid/id/marg1254			https://en.wikipedia.org/w/index.php?title=ISO_639:qvm
